Horario,Umidade,Pressao,Temperatura
09/08/1971-1800,17,888.7,26.9
10/08/1971-0000,45,889.1,19.6
10/08/1971-1200,40,889.9,21.1
10/08/1971-1800,22,887.2,26.8
11/08/1971-0000,36,888.2,19.5
11/08/1971-1200,38,888.8,20.6
11/08/1971-1800,16,886.7,27.6
12/08/1971-0000,35,887.6,21
12/08/1971-1200,54,889.6,18.8
12/08/1971-1800,26,887,27
13/08/1971-0000,37,887.6,20
13/08/1971-1200,42,889.9,19.2
13/08/1971-1800,22,886.4,28
14/08/1971-0000,37,887.1,22
14/08/1971-1200,40,887,21.5
14/08/1971-1800,29,884,28.3
15/08/1971-0000,44,885.8,22.5
15/08/1971-1200,89,887.4,15
15/08/1971-1800,39,884.7,25.6
16/08/1971-0000,51,886.6,21.3
16/08/1971-1200,63,887.6,18.4
16/08/1971-1800,33,885.2,27.2
17/08/1971-0000,53,887.2,21
17/08/1971-1200,44,889.4,20.1
17/08/1971-1800,26,886,28.2
18/08/1971-0000,46,887.5,21.8
18/08/1971-1200,57,889.6,20.4
18/08/1971-1800,29,887.1,26.7
19/08/1971-0000,46,889,20
19/08/1971-1200,66,891.5,17.3
19/08/1971-1800,33,889,24.7
20/08/1971-0000,50,889.9,18.9
20/08/1971-1200,56,891.4,16
20/08/1971-1800,25,887.8,24
21/08/1971-0000,45,887.6,18.2
21/08/1971-1200,59,890.3,17.7
21/08/1971-1800,29,887.4,26.3
22/08/1971-0000,48,888.2,19.8
22/08/1971-1200,52,890,17.8
22/08/1971-1800,33,887.5,24.2
23/08/1971-0000,45,888,19.3
23/08/1971-1200,51,890,17.2
23/08/1971-1800,27,887,24.8
24/08/1971-0000,51,888.2,17.4
24/08/1971-1200,59,889.5,16.8
24/08/1971-1800,34,887.1,23
25/08/1971-0000,46,888.3,18.8
25/08/1971-1200,66,889.9,18
25/08/1971-1800,31,887.2,24.8
26/08/1971-0000,46,887.9,18.6
26/08/1971-1200,62,890,17.4
26/08/1971-1800,33,887,23
27/08/1971-0000,45,888.3,19.2
27/08/1971-1200,72,890,16.5
27/08/1971-1800,32,887.1,24.7
28/08/1971-0000,51,888.4,19
28/08/1971-1200,64,890.7,16.6
28/08/1971-1800,35,887.6,24.6
29/08/1971-0000,45,888.8,19
29/08/1971-1200,55,890.6,18.4
29/08/1971-1800,24,887.1,25.8
30/08/1971-0000,42,888.2,19.6
30/08/1971-1200,55,890.4,16.6
30/08/1971-1800,25,887.5,24.6
31/08/1971-0000,43,888.8,18.3
31/08/1971-1200,59,889.9,16.9
31/08/1971-1800,23,887.1,24.4
01/09/1971-0000,39,889.6,18.9
01/09/1971-1200,63,890.6,17
01/09/1971-1800,32,887,24.6
02/09/1971-0000,45,888,19.4
02/09/1971-1200,53,889.2,19.2
02/09/1971-1800,31,886,26.2
03/09/1971-0000,40,886.2,22.6
03/09/1971-1200,56,889.9,17.3
03/09/1971-1800,29,886,27
04/09/1971-0000,47,887,21.3
04/09/1971-1200,47,888,19.6
04/09/1971-1800,27,885.2,27.1
05/09/1971-0000,48,886.3,20.4
05/09/1971-1200,63,888.4,21.1
05/09/1971-1800,33,885.2,28.1
06/09/1971-0000,63,886.2,21.1
06/09/1971-1200,53,888,24
06/09/1971-1800,28,885,29.4
07/09/1971-0000,45,886.3,22.8
07/09/1971-1200,92,889.1,18
07/09/1971-1800,44,885.9,27.5
08/09/1971-0000,62,887.1,21.7
08/09/1971-1200,65,888,20.7
08/09/1971-1800,42,885.8,26.6
09/09/1971-0000,60,886.8,22.8
09/09/1971-1200,84,888.2,18.6
09/09/1971-1800,49,885.9,25
10/09/1971-0000,63,886.3,21
10/09/1971-1200,69,888.4,19.1
10/09/1971-1800,36,884.7,28.1
11/09/1971-0000,64,885.8,21.3
11/09/1971-1200,92,890.3,16.6
11/09/1971-1800,58,887.5,24.3
12/09/1971-0000,73,887.6,20.5
12/09/1971-1200,76,889.6,19.9
12/09/1971-1800,55,886.3,24.7
13/09/1971-0000,90,888.2,17.9
13/09/1971-1200,92,887.2,17
13/09/1971-1800,79,886,20
14/09/1971-0000,96,886.3,16.4
14/09/1971-1200,98,887.5,14.2
14/09/1971-1800,90,886.7,15.3
15/09/1971-0000,88,887.9,14.4
15/09/1971-1200,88,889.4,13.2
15/09/1971-1800,55,887.2,21.9
16/09/1971-0000,73,888.2,17.4
16/09/1971-1200,67,890,16.1
16/09/1971-1800,32,887.4,23.4
17/09/1971-0000,55,888.6,17.6
17/09/1971-1200,56,888.7,18.2
17/09/1971-1800,34,885.8,24.4
18/09/1971-0000,51,887.5,18.6
18/09/1971-1200,53,888.6,19
18/09/1971-1800,28,885.6,25.6
19/09/1971-0000,50,886.6,20
19/09/1971-1200,61,889.6,18.1
19/09/1971-1800,32,886.7,27.6
20/09/1971-0000,53,888,21.5
20/09/1971-1200,51,889.2,22.6
20/09/1971-1800,25,886,29.7
21/09/1971-0000,43,886.4,22.7
21/09/1971-1200,46,887.5,22.1
21/09/1971-1800,24,883.8,30
22/09/1971-0000,39,884.8,22.4
22/09/1971-1200,40,888,23.8
22/09/1971-1800,31,884,28
23/09/1971-0000,43,885.1,22.8
23/09/1971-1200,50,887,23.6
23/09/1971-1800,26,884.4,30.4
24/09/1971-0000,58,886.2,22.5
24/09/1971-1200,49,886.3,24.5
24/09/1971-1800,41,883.4,28.8
25/09/1971-0000,74,885.4,19.1
25/09/1971-1200,93,888.3,16.4
25/09/1971-1800,57,885,24
26/09/1971-0000,84,885.9,17.5
26/09/1971-1200,64,886.7,21.8
26/09/1971-1800,40,883.4,28.4
27/09/1971-0000,64,884.4,21.5
27/09/1971-1200,76,887.5,18.9
27/09/1971-1800,50,883.9,25.8
28/09/1971-0000,93,887.2,18
28/09/1971-1200,83,888.3,18.7
28/09/1971-1800,61,885.1,23.8
29/09/1971-0000,94,887.6,17.4
29/09/1971-1200,76,886.4,21
29/09/1971-1800,55,884.4,25.6
30/09/1971-0000,90,885.9,17.4
30/09/1971-1200,79,886.4,20
30/09/1971-1800,61,884.4,24.4
01/10/1971-0000,79,885,19.8
01/10/1971-1200,82,888.7,19.2
01/10/1971-1800,82,885.6,19.7
02/10/1971-0000,89,886,18.3
02/10/1971-1200,71,886.7,21.2
02/10/1971-1800,59,883.4,24.6
03/10/1971-0000,86,885.4,19.4
03/10/1971-1200,76,887.2,20.4
03/10/1971-1800,76,884.4,20.7
04/10/1971-0000,91,885.2,20.2
04/10/1971-1200,83,888.2,19.7
04/10/1971-1800,52,884.8,26
05/10/1971-0000,80,885.5,22
05/10/1971-1200,78,886.3,21.9
05/10/1971-1800,48,883.2,28.5
06/10/1971-0000,82,884.4,18.8
06/10/1971-1200,77,885.9,21.4
06/10/1971-1800,88,883.6,19.2
07/10/1971-0000,88,888,18.8
07/10/1971-1200,87,886.3,20
07/10/1971-1800,64,883.8,25.8
08/10/1971-0000,91,883.9,19.6
08/10/1971-1200,94,887.9,17.8
08/10/1971-1800,81,885.5,22
09/10/1971-0000,93,887,20
09/10/1971-1200,95,888.4,18.3
09/10/1971-1800,69,885.8,24.1
10/10/1971-0000,90,886.6,20
10/10/1971-1200,85,887.1,20.1
10/10/1971-1800,87,884.3,20.8
11/10/1971-0000,87,885.6,19.8
11/10/1971-1200,95,889.1,17.7
11/10/1971-1800,92,886.8,18.4
12/10/1971-0000,87,887.1,19.9
12/10/1971-1200,87,889.2,18.5
12/10/1971-1800,59,886.8,24.6
13/10/1971-0000,95,889.2,18.3
13/10/1971-1200,86,889.5,18.2
13/10/1971-1800,70,887.5,21.9
14/10/1971-0000,97,889.6,16.9
14/10/1971-1200,90,889.9,17.8
14/10/1971-1800,68,887.2,22.3
15/10/1971-0000,85,888.4,18.4
15/10/1971-1200,80,890.7,18.6
15/10/1971-1800,71,888.4,21.4
16/10/1971-0000,100,889.9,18
16/10/1971-1200,92,891.1,16.2
16/10/1971-1800,58,888.6,23.4
17/10/1971-0000,82,889,18.4
17/10/1971-1200,76,890.4,19.1
17/10/1971-1800,56,886.8,23.3
18/10/1971-0000,91,888.4,15.3
18/10/1971-1200,80,889.1,19.6
18/10/1971-1800,74,886,19.3
19/10/1971-0000,88,886,16.5
19/10/1971-1200,68,887.9,20.8
19/10/1971-1800,63,886.3,22
20/10/1971-0000,88,886.8,17.8
20/10/1971-1200,80,888.8,18.8
20/10/1971-1800,53,887.4,23.8
21/10/1971-0000,63,886.8,20
21/10/1971-1200,59,887.9,19.9
21/10/1971-1800,38,884.3,25.2
22/10/1971-0000,52,885.8,20.5
22/10/1971-1200,52,886,18.7
22/10/1971-1800,55,883.9,20.8
23/10/1971-0000,98,886,15.4
23/10/1971-1200,61,886.4,21
23/10/1971-1800,50,884.8,23.4
24/10/1971-0000,64,886.3,19.5
24/10/1971-1200,81,888.6,19.4
24/10/1971-1800,64,886.3,22.9
25/10/1971-0000,86,886,19
25/10/1971-1200,72,887.2,21.1
25/10/1971-1800,79,884.2,19.5
26/10/1971-0000,87,885.5,18.6
26/10/1971-1200,70,885.4,23
26/10/1971-1800,51,882,27.2
27/10/1971-0000,89,883.9,19.4
27/10/1971-1200,63,884.8,22
27/10/1971-1800,58,882.6,25.8
28/10/1971-0000,89,885.8,17.3
28/10/1971-1200,90,887.8,18.8
28/10/1971-1800,78,884.7,21.4
29/10/1971-0000,92,884.4,17.8
29/10/1971-1200,78,885.4,22.5
29/10/1971-1800,86,882.7,19.5
30/10/1971-0000,96,883.9,18
30/10/1971-1200,71,884.4,22
30/10/1971-1800,86,881.4,19.7
31/10/1971-0000,96,884.7,17.4
31/10/1971-1200,92,887,18.4
31/10/1971-1800,77,884,20.6
01/11/1971-0000,92,884.8,18
01/11/1971-1200,87,885.6,18.8
01/11/1971-1800,87,882,20.2
02/11/1971-0000,94,883.4,18
02/11/1971-1200,96,883.8,17.9
02/11/1971-1800,88,881.5,18.6
03/11/1971-0000,92,883,16.8
03/11/1971-1200,82,884.4,18.1
03/11/1971-1800,81,881.9,19.7
04/11/1971-0000,97,883.1,17.3
04/11/1971-1200,69,884.7,20.6
04/11/1971-1800,60,883.4,25.2
05/11/1971-0000,78,884.2,19.5
05/11/1971-1200,62,885.1,22
05/11/1971-1800,44,883.1,27.8
06/11/1971-0000,90,885.1,19.4
06/11/1971-1200,75,888.3,22
06/11/1971-1800,73,885.9,22.6
07/11/1971-0000,92,888,18.1
07/11/1971-1200,67,887.1,21.1
07/11/1971-1800,62,883.8,23.5
08/11/1971-0000,82,886.4,19.4
08/11/1971-1200,85,887.4,20.4
08/11/1971-1800,65,885,23.8
09/11/1971-0000,84,885.4,19.6
09/11/1971-1200,86,887.9,19.1
09/11/1971-1800,63,885.2,22.8
10/11/1971-0000,93,885.9,18.3
10/11/1971-1200,78,886.2,22.2
10/11/1971-1800,66,883,23.6
11/11/1971-0000,93,884.3,19
11/11/1971-1200,64,885.6,22.6
11/11/1971-1800,50,882.6,26.4
12/11/1971-0000,80,884.7,20
12/11/1971-1200,69,885.9,21.4
12/11/1971-1800,88,882.6,18.8
13/11/1971-0000,89,883.6,20
13/11/1971-1200,91,884.6,19.8
13/11/1971-1800,63,880.8,25.1
14/11/1971-0000,93,882.8,19
14/11/1971-1200,81,883.1,22
14/11/1971-1800,78,880.3,23.6
15/11/1971-0000,94,883.5,20
15/11/1971-1200,87,884.2,20.8
15/11/1971-1800,90,881.6,21
16/11/1971-0000,95,883.8,19.4
16/11/1971-1200,94,885.4,19
16/11/1971-1800,84,882.6,21.2
17/11/1971-0000,96,883.6,18.2
17/11/1971-1200,89,886.3,19.1
17/11/1971-1800,81,884,20.9
18/11/1971-0000,91,885.1,18.6
18/11/1971-1200,74,885.1,22.4
18/11/1971-1800,55,881.2,26.2
19/11/1971-0000,98,883.1,17.8
19/11/1971-1200,88,883.2,21
19/11/1971-1800,74,879.9,22.2
20/11/1971-0000,92,881.9,19
20/11/1971-1200,86,883.1,19.2
20/11/1971-1800,86,881.4,21.2
21/11/1971-0000,96,883.5,17.4
21/11/1971-1200,96,884.6,17.1
21/11/1971-1800,93,883.1,16.8
22/11/1971-0000,93,884.3,15.8
22/11/1971-1200,95,884,17.3
22/11/1971-1800,87,882.3,19.3
23/11/1971-0000,97,883.4,17.6
23/11/1971-1200,94,884.2,17.8
23/11/1971-1800,79,882.2,20.6
24/11/1971-0000,95,881.6,17.1
24/11/1971-1200,86,882.8,18.8
24/11/1971-1800,96,880.3,18
25/11/1971-0000,90,882.7,17.6
25/11/1971-1200,84,885,20.3
25/11/1971-1800,65,883.2,23
26/11/1971-0000,89,884.2,18.5
26/11/1971-1200,74,887.4,22.1
26/11/1971-1800,53,885.4,26.4
27/11/1971-0000,88,885.9,19.8
27/11/1971-1200,88,888.7,19.6
27/11/1971-1800,61,885.4,25.3
28/11/1971-0000,89,886.3,19.3
28/11/1971-1200,82,887.8,18.8
28/11/1971-1800,56,885,25.6
29/11/1971-0000,76,884.8,20.8
29/11/1971-1200,75,886.6,21.5
29/11/1971-1800,70,883.9,22.4
30/11/1971-0000,79,885.8,20.4
30/11/1971-1200,75,887.4,21.2
30/11/1971-1800,81,884.4,20.5
01/12/1971-0000,84,885.8,19.5
01/12/1971-1200,94,886.8,18
01/12/1971-1800,80,882.3,21.6
02/12/1971-0000,89,884.4,19.3
02/12/1971-1200,80,885.4,20.8
02/12/1971-1800,58,881.2,25.2
03/12/1971-0000,76,883,20.4
03/12/1971-1200,82,885,21.8
03/12/1971-1800,64,881.8,25.6
04/12/1971-0000,91,884,19.6
04/12/1971-1200,90,885.9,20
04/12/1971-1800,72,883,24.3
05/12/1971-0000,94,885.6,18.6
05/12/1971-1200,89,885.9,19.1
05/12/1971-1800,65,883.2,23.8
06/12/1971-0000,95,884.3,19.8
06/12/1971-1200,88,885.5,19.4
06/12/1971-1800,90,883.6,19.2
07/12/1971-0000,96,885.4,17.8
07/12/1971-1200,86,885.5,19.4
07/12/1971-1800,63,883.1,24
08/12/1971-0000,90,884,18.4
08/12/1971-1200,87,885.8,20.4
08/12/1971-1800,85,883,20.4
09/12/1971-0000,94,883.4,18.7
09/12/1971-1200,88,885.4,19.5
09/12/1971-1800,84,882,21.1
10/12/1971-0000,94,884.4,18.2
10/12/1971-1200,77,886,21.4
10/12/1971-1800,66,882.6,25.2
11/12/1971-0000,94,886,18.8
11/12/1971-1200,76,889.8,23.6
11/12/1971-1800,86,883.4,21.8
12/12/1971-0000,89,885.6,21
12/12/1971-1200,80,887.1,22
12/12/1971-1800,85,883.2,21.4
13/12/1971-0000,95,885.4,19
13/12/1971-1200,89,885.8,20.1
13/12/1971-1800,46,883,27.8
14/12/1971-0000,76,885.1,22.4
14/12/1971-1200,80,886.7,22.8
14/12/1971-1800,83,884.7,21.6
15/12/1971-0000,92,887,18.7
15/12/1971-1200,68,887.4,23
15/12/1971-1800,82,886,19.8
16/12/1971-0000,91,886.4,18.8
16/12/1971-1200,75,887.1,22
16/12/1971-1800,59,884,23.6
17/12/1971-0000,91,885,19
17/12/1971-1200,78,884.6,22.3
17/12/1971-1800,53,882.4,26
18/12/1971-0000,82,884.2,21.4
18/12/1971-1200,83,886.2,21
18/12/1971-1800,56,884,27
19/12/1971-0000,84,885,20
19/12/1971-1200,91,887.5,20.2
19/12/1971-1800,60,883.4,26.2
20/12/1971-0000,92,884.8,19.3
20/12/1971-1200,83,885.1,20.8
20/12/1971-1800,60,882,25.6
21/12/1971-0000,87,882.6,20.8
21/12/1971-1200,82,883.5,21.4
21/12/1971-1800,57,879.5,27.8
22/12/1971-0000,80,881,21.8
22/12/1971-1200,95,881.2,20
22/12/1971-1800,78,879.4,22.4
23/12/1971-0000,92,880,19.4
23/12/1971-1200,97,881.1,19
23/12/1971-1800,92,879.9,19.2
24/12/1971-0000,95,881.4,17.7
24/12/1971-1200,95,884.3,17.8
24/12/1971-1800,76,882.8,20.8
25/12/1971-0000,92,884.2,17.5
25/12/1971-1200,82,885.1,20
25/12/1971-1800,61,883.4,24.6
26/12/1971-0000,82,884.4,19
26/12/1971-1200,96,886,18.2
26/12/1971-1800,85,883.4,22.5
27/12/1971-0000,96,884.8,17.8
27/12/1971-1200,84,887.4,19.8
27/12/1971-1800,48,885.1,26
28/12/1971-0000,75,885.8,21.2
28/12/1971-1200,58,887,22.7
28/12/1971-1800,41,885.5,27.6
29/12/1971-0000,63,884.8,21.8
29/12/1971-1200,58,886.6,22.9
29/12/1971-1800,48,884.8,26.4
30/12/1971-0000,65,884.4,21.4
30/12/1971-1200,63,886.2,21.6
30/12/1971-1800,31,884.8,26.8
31/12/1971-0000,58,885.1,21.8
31/12/1971-1200,66,886,20.8
31/12/1971-1800,43,884.8,26.3
01/01/1972-0000,66,885.2,22
01/01/1972-1200,53,887,23.2
01/01/1972-1800,42,885.4,26
02/01/1972-0000,60,885.2,22
02/01/1972-1200,62,887.2,21.6
02/01/1972-1800,41,885.6,27.8
03/01/1972-0000,57,885.1,22.5
03/01/1972-1200,65,886.4,21.8
03/01/1972-1800,37,884.3,27.4
04/01/1972-0000,60,884.3,21.9
04/01/1972-1200,67,884.3,23.2
04/01/1972-1800,48,882.8,26.8
05/01/1972-0000,72,881.5,20
05/01/1972-1200,93,883.8,16.6
05/01/1972-1800,51,883.6,25.1
06/01/1972-0000,81,884.3,19.8
06/01/1972-1200,60,886.6,24.2
06/01/1972-1800,48,885.6,27.8
07/01/1972-0000,79,885.9,21.2
07/01/1972-1200,64,888.2,22.8
07/01/1972-1800,59,887.6,24
08/01/1972-0000,84,886.3,19
08/01/1972-1200,84,887.8,19.5
08/01/1972-1800,65,885.4,23.7
09/01/1972-0000,82,886.8,20.7
09/01/1972-1200,69,887.4,23.2
09/01/1972-1800,37,884.6,28.8
10/01/1972-0000,62,885.6,20.6
10/01/1972-1200,74,888.2,20.8
10/01/1972-1800,33,886.2,28.3
11/01/1972-0000,48,886.4,21.8
11/01/1972-1200,52,887.8,22.4
11/01/1972-1800,37,886,27
12/01/1972-0000,48,885.4,21.5
12/01/1972-1200,66,886.3,20.6
12/01/1972-1800,41,884.3,27.2
13/01/1972-0000,61,883.9,21.8
13/01/1972-1200,72,884.8,20.7
13/01/1972-1800,50,882.7,26.6
14/01/1972-0000,64,882.7,22.3
14/01/1972-1200,77,885.1,20.4
14/01/1972-1800,50,883.1,26.2
15/01/1972-0000,77,883.4,20.4
15/01/1972-1200,63,886.2,21.6
15/01/1972-1800,41,883.6,26.4
16/01/1972-0000,57,884,21.7
16/01/1972-1200,62,885.2,21.4
16/01/1972-1800,39,882.6,27.6
17/01/1972-0000,74,884.7,21
17/01/1972-1200,72,887.1,20.5
17/01/1972-1800,48,884.6,26
18/01/1972-0000,71,884.6,20.6
18/01/1972-1200,71,886.6,20.4
18/01/1972-1800,55,884.4,24.4
19/01/1972-0000,80,884.7,19.3
19/01/1972-1200,73,886.4,21
19/01/1972-1800,48,882.8,26.3
20/01/1972-0000,92,884,17.8
20/01/1972-1200,75,884.8,21.4
20/01/1972-1800,44,882.7,26.6
21/01/1972-0000,76,882.8,20.8
21/01/1972-1200,69,885.2,22.6
21/01/1972-1800,55,882.4,26.1
22/01/1972-0000,82,883,20.2
22/01/1972-1200,74,885.2,21.8
22/01/1972-1800,60,882.4,25
23/01/1972-0000,87,882.8,19.8
23/01/1972-1200,77,884.2,21
23/01/1972-1800,53,881.1,26.8
24/01/1972-0000,91,882.7,19.6
24/01/1972-1200,84,882.8,20.7
24/01/1972-1800,57,880.2,26.4
25/01/1972-0000,95,882.2,19.2
25/01/1972-1200,89,883.9,18.4
25/01/1972-1800,65,881.4,23
26/01/1972-0000,88,882.7,18.8
26/01/1972-1200,86,883.6,20
26/01/1972-1800,74,881.5,22.2
27/01/1972-0000,88,883,19
27/01/1972-1200,74,885.5,20.2
27/01/1972-1800,59,884,24.7
28/01/1972-0000,87,883.9,20.6
28/01/1972-1200,85,886.4,20.6
28/01/1972-1800,60,884.4,24.8
29/01/1972-0000,88,884.7,20.3
29/01/1972-1200,72,885.8,23
29/01/1972-1800,43,882.8,28.6
30/01/1972-0000,80,884,18.8
30/01/1972-1200,71,885.9,21.2
30/01/1972-1800,63,884.4,24.6
31/01/1972-0000,70,884.6,21.9
31/01/1972-1200,71,885.6,22.8
31/01/1972-1800,38,882.3,29.4
01/02/1972-0000,64,884.3,23
01/02/1972-1200,84,886.2,20
01/02/1972-1800,59,884.6,25.4
02/02/1972-0000,86,885.8,18.6
02/02/1972-1200,61,885.8,23.4
02/02/1972-1800,50,883.6,26.2
03/02/1972-0000,94,885.2,18.6
03/02/1972-1200,78,885.8,22.4
03/02/1972-1800,83,884.7,21.8
04/02/1972-0000,90,885.4,19
04/02/1972-1200,80,885.9,20.2
04/02/1972-1800,65,885.4,24.2
05/02/1972-0000,91,886,19.6
05/02/1972-1200,92,887.9,18
05/02/1972-1800,60,885.5,25.4
06/02/1972-0000,75,885,22
06/02/1972-1200,81,886.7,20.6
06/02/1972-1800,45,884.7,27
07/02/1972-0000,65,884.7,21.8
07/02/1972-1200,70,885.9,21.8
07/02/1972-1800,45,884.3,27.6
08/02/1972-0000,64,884.7,22
08/02/1972-1200,70,886.7,22.8
08/02/1972-1800,48,884.3,27
09/02/1972-0000,72,884.6,21.6
09/02/1972-1200,75,887.4,21.4
09/02/1972-1800,48,883.2,26.8
10/02/1972-0000,82,884,20.2
10/02/1972-1200,73,885,23
10/02/1972-1800,48,881.6,26.7
11/02/1972-0000,86,883.4,20
11/02/1972-1200,85,885.1,19.1
11/02/1972-1800,62,882.6,24.4
12/02/1972-0000,80,883.4,21.1
12/02/1972-1200,82,885.6,18.6
12/02/1972-1800,59,883.6,24.6
13/02/1972-0000,77,884.3,20.4
13/02/1972-1200,81,887.5,20.1
13/02/1972-1800,65,885.1,23.9
14/02/1972-0000,86,886.4,19
14/02/1972-1200,87,888.6,18.6
14/02/1972-1800,55,886.7,26.1
15/02/1972-0000,87,887.1,18.6
15/02/1972-1200,70,887.8,22.4
15/02/1972-1800,86,884.7,20.4
16/02/1972-0000,86,885.2,18.8
16/02/1972-1200,80,885.1,21.4
16/02/1972-1800,87,883,19.8
17/02/1972-0000,92,883.6,17.6
17/02/1972-1200,70,884.3,22
17/02/1972-1800,60,882.3,25.8
18/02/1972-0000,85,883.2,20.4
18/02/1972-1200,80,885.2,21.6
18/02/1972-1800,72,883,23.2
19/02/1972-0000,80,884.3,21
19/02/1972-1200,80,885.8,20.8
19/02/1972-1800,55,882.8,26
20/02/1972-0000,86,884.3,19.2
20/02/1972-1200,79,885.4,21.8
20/02/1972-1800,59,882.3,26
21/02/1972-0000,92,884.2,18.6
21/02/1972-1200,82,886.7,20.8
21/02/1972-1800,60,884.3,25
22/02/1972-0000,86,885.5,20.2
22/02/1972-1200,90,887.6,18.1
22/02/1972-1800,63,884.2,25.8
23/02/1972-0000,90,885.4,18.2
23/02/1972-1200,60,885.9,22.7
23/02/1972-1800,52,884.4,27
24/02/1972-0000,80,884.4,21.5
24/02/1972-1200,75,887,23.2
24/02/1972-1800,66,885.1,24.4
25/02/1972-0000,97,885.9,18.3
25/02/1972-1200,83,888,21.7
25/02/1972-1800,48,885.2,28.2
26/02/1972-0000,76,885.5,22.9
26/02/1972-1200,83,888.7,21.5
26/02/1972-1800,53,885.2,28
27/02/1972-0000,87,885.4,20
27/02/1972-1200,85,886.8,22.2
27/02/1972-1800,77,883.8,22
28/02/1972-0000,90,884.6,18.8
28/02/1972-1200,90,884.4,19.2
28/02/1972-1800,54,881.1,25.2
29/02/1972-0000,86,883,18.4
29/02/1972-1200,86,883.6,19.4
29/02/1972-1800,71,882,22.2
01/03/1972-0000,87,883.2,19.6
01/03/1972-1200,74,884.7,20.8
01/03/1972-1800,80,883.1,21.8
02/03/1972-0000,88,884.4,19.2
02/03/1972-1200,88,886.2,19.7
02/03/1972-1800,71,883.1,23.2
03/03/1972-0000,90,885,19.2
03/03/1972-1200,85,886.4,20.7
03/03/1972-1800,91,883.9,20.4
04/03/1972-0000,92,884.3,18
04/03/1972-1200,81,887.1,21.8
04/03/1972-1800,68,884.4,23.4
05/03/1972-0000,96,886.2,18.3
05/03/1972-1200,83,888.2,21.8
05/03/1972-1800,48,885.8,27.4
06/03/1972-0000,71,886.8,21.2
06/03/1972-1200,64,888.2,22
06/03/1972-1800,47,886.2,26.5
07/03/1972-0000,78,886.6,21.6
07/03/1972-1200,73,888.6,22.6
07/03/1972-1800,71,885.5,24
08/03/1972-0000,83,885.9,20.4
08/03/1972-1200,92,888.7,18
08/03/1972-1800,60,884,25.6
09/03/1972-0000,89,885.4,18.9
09/03/1972-1200,74,885,22.6
09/03/1972-1800,67,882.6,23.4
10/03/1972-0000,84,884,20
10/03/1972-1200,79,885.9,22.2
10/03/1972-1800,92,883.4,19.6
11/03/1972-0000,85,883.6,20.2
11/03/1972-1200,73,886.3,23.3
11/03/1972-1800,70,883.6,24.7
12/03/1972-0000,94,885.5,17.8
12/03/1972-1200,75,888.2,22
12/03/1972-1800,56,885.1,27
13/03/1972-0000,80,886.7,20.8
13/03/1972-1200,86,888.6,21.1
13/03/1972-1800,46,886,28.2
14/03/1972-0000,74,887.1,21.8
14/03/1972-1200,67,889.2,22.4
14/03/1972-1800,46,886.6,27.3
15/03/1972-0000,70,886.3,22
15/03/1972-1200,55,887.8,24.4
15/03/1972-1800,38,884.8,28.8
16/03/1972-0000,68,885.8,23.2
16/03/1972-1200,63,886.4,24.6
16/03/1972-1800,44,883.4,29.1
17/03/1972-0000,71,883.8,24
17/03/1972-1200,70,884.6,24.6
17/03/1972-1800,40,883.1,28.8
18/03/1972-0000,68,884,23.4
18/03/1972-1200,74,884.8,23
18/03/1972-1800,57,882.7,27.8
19/03/1972-0000,92,884.8,18.2
19/03/1972-1200,74,883.9,21.4
19/03/1972-1800,51,881.5,27.8
20/03/1972-0000,88,883.6,19.6
20/03/1972-1200,79,883.2,20.4
20/03/1972-1800,51,880.7,26.4
21/03/1972-0000,77,881.9,22
21/03/1972-1200,87,882.7,21.8
21/03/1972-1800,59,879.9,24.3
22/03/1972-0000,88,882,20.8
22/03/1972-1200,84,883.9,20
22/03/1972-1800,70,881.2,22.8
23/03/1972-0000,89,882.8,20
23/03/1972-1200,87,885.8,20.2
23/03/1972-1800,89,884.7,19.6
24/03/1972-0000,92,885.4,19.2
24/03/1972-1200,78,887.2,21
24/03/1972-1800,41,884.8,26.8
25/03/1972-0000,63,886,21.2
25/03/1972-1200,73,887.6,21.8
25/03/1972-1800,45,884.4,27.1
26/03/1972-0000,80,885.6,20.6
26/03/1972-1200,71,887.4,21.7
26/03/1972-1800,45,884.7,27
27/03/1972-0000,72,885.2,22.1
27/03/1972-1200,77,887.5,22.2
27/03/1972-1800,54,884.3,25.2
28/03/1972-0000,81,886,19.8
28/03/1972-1200,83,887.5,19.6
28/03/1972-1800,51,885,25.7
29/03/1972-0000,73,885.1,21
29/03/1972-1200,89,885.4,20.4
29/03/1972-1800,56,884.2,26.5
30/03/1972-0000,83,885.4,20.8
30/03/1972-1200,75,886.8,21.8
30/03/1972-1800,42,884.2,27.3
31/03/1972-0000,70,885.2,21.9
31/03/1972-1200,62,887.5,22.6
31/03/1972-1800,41,884.6,28.4
01/04/1972-0000,81,887.4,19.7
01/04/1972-1200,71,887.8,22.6
01/04/1972-1800,70,884.7,24.2
02/04/1972-0000,85,885.5,21
02/04/1972-1200,86,886.7,21.6
02/04/1972-1800,65,883.2,25.4
03/04/1972-0000,88,885,19.9
03/04/1972-1200,85,885.5,21.4
03/04/1972-1800,49,882.8,28.2
04/04/1972-0000,89,886.3,20.2
04/04/1972-1200,77,886,22.4
04/04/1972-1800,91,884.2,19.8
05/04/1972-0000,96,885,18.6
05/04/1972-1200,89,885.9,20.8
05/04/1972-1800,79,884,22.3
06/04/1972-0000,89,885.8,20.4
